,PRE-FLIP-MLS,POST-FLIP-MLS,PRE-FLIP-SOLD-DATE,POST-FLIP-SOLD-DATE,PRE-SOLD-PRICE,POST-SOLD-PRICE,PROFIT
724,71990995.0,72237515.0,6/30/2016,3/1/2018,335000.0,360000.0,25000
725,71991052.0,72095736.0,9/8/2016,1/30/2017,272000.0,395000.0,123000
726,71991094.0,72089615.0,6/15/2016,12/20/2016,368000.0,373000.0,5000
727,71991281.0,72069094.0,5/23/2016,2/23/2017,264900.0,427000.0,162100
728,71943627.0,71991640.0,3/3/2016,6/14/2016,245000.0,362000.0,117000
729,71911043.0,71991735.0,1/27/2016,7/11/2016,240001.0,370000.0,129999
730,71991845.0,72084174.0,7/7/2016,12/23/2016,98000.0,233000.0,135000
731,71991967.0,72073304.0,8/10/2016,12/6/2016,399900.0,415000.0,15100
732,71991993.0,72029017.0,7/22/2016,8/30/2016,577000.0,557000.0,-20000
733,71992100.0,72161642.0,6/16/2016,6/30/2017,160000.0,375000.0,215000
734,71992159.0,72259630.0,7/5/2016,1/31/2018,461000.0,470000.0,9000
735,71992167.0,72223173.0,8/2/2016,10/24/2017,1050000.0,1175000.0,125000
736,71992280.0,72249787.0,9/13/2016,12/8/2017,510000.0,700000,190000
737,71992404.0,72192424.0,5/26/2016,8/18/2017,75000.0,212000.0,137000
738,71992594.0,72197058.0,9/8/2016,8/30/2017,479900.0,479900.0,0
739,71992629.0,72130680.0,6/15/2016,7/7/2017,390000.0,518000.0,128000
740,71992663.0,72103734.0,8/4/2016,3/10/2017,138000.0,204000.0,66000
741,71992790.0,72258244.0,6/30/2016,1/30/2018,435000.0,479000.0,44000
742,71992969.0,72069036.0,6/10/2016,11/18/2016,215000.0,310000.0,95000
743,71795663.0,71992973.0,1/29/2016,7/11/2016,627600.0,530000.0,-97600
744,71993011.0,72188100.0,12/21/2016,9/8/2017,220500.0,416000.0,195500
745,71993073.0,72282232.0,5/26/2016,3/23/2018,450000.0,480000.0,30000
746,71993271.0,72163079.0,6/24/2016,7/13/2017,270000.0,410000.0,140000
747,71993372.0,72233238.0,10/11/2016,1/12/2018,175000.0,307900.0,132900
748,71993446.0,72147945.0,7/11/2016,6/29/2017,682000.0,725000.0,43000
749,71993543.0,72166993.0,9/23/2016,7/5/2017,460000.0,457000.0,-3000
750,71993791.0,72059135.0,6/27/2016,11/3/2017,265000.0,365000.0,100000
751,71993875.0,72238097.0,7/12/2016,2/1/2018,269000.0,310000.0,41000
752,71994213.0,72129197.0,6/15/2016,5/4/2017,500000.0,644650.0,144650
753,71994265.0,72105850.0,9/16/2016,8/10/2017,205000.0,490000.0,285000
754,71994270.0,72066909.0,7/11/2016,12/14/2016,1500000.0,1582050.0,82050
755,71994301.0,72091116.0,7/19/2016,2/10/2017,69900.0,160000.0,90100
756,71994334.0,72143004.0,6/17/2016,11/14/2017,325000.0,520000.0,195000
757,71994508.0,72089765.0,7/22/2016,12/29/2016,162000.0,305000.0,143000
758,71994866.0,72144430.0,1/12/2017,6/7/2017,220000.0,450000.0,230000
759,71995060.0,72122716.0,9/15/2016,3/31/2017,52250.0,139200.0,86950
760,71995177.0,72112748.0,9/20/2016,5/8/2017,400000.0,680000.0,280000
761,71995199.0,72094274.0,7/1/2016,7/10/2017,140000.0,330000.0,190000
762,71921008.0,71995235.0,2/16/2016,8/1/2016,355000.0,455000.0,100000
763,71995873.0,72092894.0,9/13/2016,4/21/2017,160000.0,270000.0,110000
764,71995874.0,72163405.0,6/15/2016,8/28/2017,320000.0,495000.0,175000
765,71936271.0,71995915.0,2/29/2016,7/8/2016,215215.0,385000.0,169785
766,71920957.0,71995916.0,2/17/2016,6/15/2016,327000.0,522500.0,195500
767,71996007.0,72046969.0,6/27/2016,10/17/2016,178000.0,258000.0,80000
768,71996039.0,72272433.0,6/23/2016,3/9/2018,685000.0,2260000.0,1575000
769,71840315.0,71996057.0,1/22/2016,6/30/2016,75000.0,165000.0,90000
770,71996081.0,72272235.0,7/1/2016,3/23/2018,740000.0,795000.0,55000
771,71996334.0,72264613.0,10/7/2016,2/16/2018,39000.0,210000.0,171000
772,71938913.0,71996471.0,1/29/2016,6/28/2016,248000.0,367000.0,119000
